,cafe_name
0,강남카페 카페노티드 청담
1,강남카페 블루보틀 역삼
2,강남카페 랑데자뷰 강남점
3,강남카페 꽁티드툴레아 도산점
4,강남카페 카페캠프통 압구정살롱점
5,강남카페 10꼬르소꼬모카페
6,강남카페 썸띵어바웃커피
7,강남카페 카페써드
8,강남카페 펠트커피 도산공원점
9,강남카페 아우어베이커리 싸이더스점
10,강남카페 소진담 신사점
11,강남카페 껠끄쇼즈
12,강남카페 파넬카페
13,강남카페 고센
14,강남카페 달링키친
15,강남카페 에잇디
16,강남카페 로얄마카롱
17,강남카페 크리에잇쿠키 역삼점
18,강남카페 미엘
19,강남카페 겟썸커피
20,강남카페 세드라
21,강남카페 더닐크팩토리 가로수길지점
22,강남카페 맷카페
23,강남카페 SM타운카페
24,강남카페 이브닝블루
25,강남카페 세시셀라 도산공원점
26,강남카페 마일스톤커피
27,강남카페 클라우즈비
28,강남카페 카페레이어스튜디오
29,강남카페 빵어니스타 압구정점
0,건대카페 아르무아
1,건대카페 도우터
2,건대카페 카페히릿
3,건대카페 아오스요거트
4,건대카페 최가커피
5,건대카페 비에이치테이블
6,건대카페 밀피
7,건대카페 랑데자뷰 건대점
8,건대카페 커피나무 건대입구역점
9,건대카페 냥토피아
10,건대카페 마우스레빗
11,건대카페 북카페세모
12,건대카페 카페K375
13,건대카페 CAFE22
14,건대카페 카페온더플랜 건대점
15,건대카페 스타벅스 건대입구점
16,건대카페 오페뜨 건대점
17,건대카페 온더볼륨
18,건대카페 플레이독스
19,건대카페 앨리스룸카페
20,건대카페 키랩보드게임 룸카페 건대본점
21,건대카페 도쿄빙수 건대점
22,건대카페 리밀커피&밀리마카롱
23,건대카페 투썸플레이스 건대입구점
24,건대카페 스타벅스 건국대
25,건대카페 레이니레인
26,건대카페 카페오로시
27,건대카페 홍콩다방 건대점
28,건대카페 칼레오 커피로스터스
29,건대카페 다빈치보드게임카페
30,건대카페 타이거슈가 건대점
31,건대카페 커피마켓
32,건대카페 카페호이 자양점
33,건대카페 벨롱에스프레소
34,건대카페 소단
35,건대카페 히어로보드게임카페 건대1호점
36,건대카페 할리스커피 건대일감호수점
37,건대카페 설빙 건대직영2호점
38,건대카페 카페코튼
39,건대카페 치즈팩토리
40,건대카페 넥스트에디션 건대2호점
0,대학로카페 학림다방
1,대학로카페 카페키이로
2,대학로카페 칠린
3,대학로카페 메종드아베크엘
4,대학로카페 빌리엔젤 대학로점
5,대학로카페 커피한약방 혜화점
6,대학로카페 개뿔
7,대학로카페 블루룸
8,대학로카페 폴인팬케이크 대학로점
9,대학로카페 스노브 대학로점
10,대학로카페 벌툰 대학로점
11,대학로카페 공공거실
12,대학로카페 카페혜화동
13,대학로카페 하이제씨
14,대학로카페 슬로스텝
15,대학로카페 타셴
16,대학로카페 혜화역4번출구카페제이드
17,대학로카페 마띠에르
18,대학로카페 해로커피
19,대학로카페 쁘띠렌 대학로점
20,대학로카페 서화커피
21,대학로카페 스타벅스 혜화역점
22,대학로카페 까페몽스
23,대학로카페 덤앤더머 방탈출카페 대학로점
24,대학로카페 카페트레블
25,대학로카페 타스카페
26,대학로카페 낫컴플리트
27,대학로카페 스타벅스 마로니에공원점
28,대학로카페 미어캣파크 혜화점
29,대학로카페 일월일일
30,대학로카페 오후홍콩 대학로점
31,대학로카페 브라운에비뉴
32,대학로카페 헤이커피
33,대학로카페 에그마카슈
34,대학로카페 학림커피
35,대학로카페 제뉴어리피크닉
36,대학로카페 미스터힐링 대학로점
37,대학로카페 비트포비아 대학로점
38,대학로카페 공차 대학로점
39,대학로카페 시크릿챔버
40,대학로카페 로벨리아듀카페&와인
41,대학로카페 설빙 혜화대학로점
0,홍대카페 공휴
1,홍대카페 소마드로잉카페 홍대점
2,홍대카페 피오니 홍대점
3,홍대카페 르쁘띠푸 홍대본점
4,홍대카페 랑데자뷰 상수점
5,홍대카페 943킹스크로스
6,홍대카페 룸즈에이 홍대점
7,홍대카페 테일러커피 서교점
8,홍대카페 톤앤매너
9,홍대카페 바나나하루키
10,홍대카페 비라티오 홍대점
11,홍대카페 도화서가 홍대점(휴업중)
12,홍대카페 앤디스커피
13,홍대카페 시루케이크
14,홍대카페 어반플랜트
15,홍대카페 오츠에스프레소
16,홍대카페 버터밀크
17,홍대카페 쇼콜라윰
18,홍대카페 히어로보드게임카페 홍대1호점
